Trs_Id,Agency_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
1123,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Greater Derry Salem Cooperative Alliance for Regional Transportation                                ,50 Nashua Road                                                                                      ,Suite 102                                                                                           ,Londonderry                        ,NH                  ,03053,    ,www.cart-rides.org                                                                                  ,6799,CART                     ,200,"116,000",Y,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,809736197
2002,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,3,31,2010,Capital District Transportation Authority                                                           ,110 Watervliet Avenue                                                                               ,                                                                                                    ,Albany                             ,NY                  ,12206,    ,www.cdta.org                                                                                        ,1776,CDTA                     ,"1,760","794,293",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,020672119
2003,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Broome County Department of Public Transportation                                                   ,413 Old Mill Road                                                                                   ,                                                                                                    ,Vestal                             ,NY                  ,13850,    ,www.gobroomecounty.com/transit/                                                                     ,1774,Broome County            ,712,"165,000",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,071602791
2004,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,3,31,2010,Niagara Frontier Transportation Authority                                                           ,181 Ellicott Street                                                                                 ,                                                                                                    ,Buffalo                            ,NY                  ,14203,    ,www.nfta.com                                                                                        ,1792,NFT Metro                ,"1,575","1,182,165",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,056615677
2005,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Chemung County Transit System                                                                       ,1201 Clemens Center Parkway                                                                         ,                                                                                                    ,Elmira                             ,NY                  ,14901,    ,www.chemungcountytransit.com                                                                        ,1924,CCTS                     ,408,"95,195",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,079685707
2006,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,City of Long Beach                                                                                  ,One West Chester Street                                                                             ,                                                                                                    ,Long Beach                         ,NY                  ,11561,    ,www.longbeachny.org                                                                                 ,1783,Long Beach Bus           ,13,"35,000",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,065968174
2007,"2. Subsidiary unit of a transit agency, reporting separately                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus                                       ",700 Commercial Avenue                                                                               ,                                                                                                    ,Garden City                        ,NY                  ,11530,    ,www.libus.org                                                                                       ,1786,MTA Long Island Bus      ,287,"1,360,000",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,068049543
2008,"2. Subsidiary unit of a transit agency, reporting separately                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,MTA New York City Transit                                                                           ,2 Broadway                                                                                          ,                                                                                                    ,New York                           ,NY                  ,10004,    ,www.mta.info                                                                                        ,1786,NYCT                     ,321,"8,008,278",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,009702853
2009,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,City of Poughkeepsie                                                                                ,62 Civic Center Plaza                                                                               ,                                                                                                    ,Poughkeepsie                       ,NY                  ,12601,    ,www.cityofpoughkeepsie.com                                                                          ,2062,                         ,5,"28,844",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,020659363
2010,11. Private provider reporting on behalf of a public entity                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Dutchess County Division of Mass Transportation                                                     ,14 Commerce Street                                                                                  ,                                                                                                    ,Poughkeepsie                       ,NY                  ,12603,    ,www.dutchessny.gov                                                                                  ,1784,Loop Bus                 ,"1,067","351,997",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,198718827
2018,"2. Subsidiary unit of a transit agency, reporting separately                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,3,31,2010,"CNY Centro, Inc.                                                                                    ",200 Cortland Ave.                                                                                   ,                                                                                                    ,Syracuse                           ,NY                  ,13205,0820,www.centro.org                                                                                      ,1778,CNY Centro               ,248,"424,819",N,                                                                                                                                                                                                        ,                                                                                                    ,820       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,070850912
2071,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Huntington Area Rapid Transit                                                                       ,144 East Second Street                                                                              ,                                                                                                    ,Huntington Station                 ,NY                  ,11746,1431,http://town.huntington.ny.us                                                                        ,1800,HART                     ,93,"203,064",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,068043256
2072,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Suffolk County Department of Public Works - Transportation Division                                 ,Rudolph M. Kammerer Building                                                                        ,335 Yaphank Avenue                                                                                  ,Yaphank                            ,NY                  ,11980,9744,www.sct-bus.org                                                                                     ,1799,ST                       ,911,"1,493,350",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,Y,137672791
2075,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Port Authority Transit Corporation                                                                  ,Carlton Avenue                                                                                      ,                                                                                                    ,Lindenwold                         ,NJ                  ,08021,    ,www.ridepatco.org                                                                                   ,1413,PATCO                    ,16,"159,726",N,                                                                                                                                                                                                        ,                                                                                                    ,4262      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,048049787
2076,13. Other (Describe)                                                                                                                                  ,"Public/Private Partnership identified as ""The Westchester County Bee-Line System"" with administrative oversight by the Westchester County Department of Public Works and Transportation (Transportation Division).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",12,31,2010,Westchester County Bee-Line System                                                                  ,100 East First Street                                                                               ,                                                                                                    ,Mount Vernon                       ,NY                  ,10550,    ,www.westchestergov.com                                                                              ,1803,The Bee-Line System      ,450,"923,459",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,136007353
2078,"2. Subsidiary unit of a transit agency, reporting separately                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad                                ",347 Madison Avenue                                                                                  ,                                                                                                    ,New York                           ,NY                  ,10017,    ,www.mnr.org                                                                                         ,    ,MTA-MNCR                 ,527,"6,503,894",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,101126142
2080,8. Other publicly-owned or publicly-chartered corporation                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,New Jersey Transit Corporation                                                                      ,"One Penn Plaza, East                                                                                ",                                                                                                    ,Newark                             ,NJ                  ,07105,2246,www.njtransit.com                                                                                   ,1414,NJ TRANSIT               ,"3,353","17,799,861",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,038485140
2082,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,New York City Department of Transportation                                                          ,55 Water Street                                                                                     ,                                                                                                    ,New York                           ,NY                  ,10041,    ,www.ci.nyc.ny.us/html/dot                                                                           ,1788,NYCDOT                   ,372,"8,468,015",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,780731170
2084,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Transport of Rockland                                                                               ,Robert L. Yeager Health Center                                                                      ,Building T                                                                                          ,Pomona                             ,NY                  ,10970,    ,www.co.rockland.ny.us                                                                               ,1798,TOR                      ,176,"300,173",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,075437848
